,Pagerank_rank,degree_centrality_rank,closeness_centrality_rank,betweenness_centrality_rank,URL
10097,1.0,55.0,1.0,1.0,https://akiba-souken.com/
5435,2.0,5.0,3.0,2.0,https://kakaku.com/
21746,3.0,2.0,14.0,5.0,https://akiba-souken.com/article/35082/
11225,4.0,8.0,5.0,3.0,https://corporate.kakaku.com/
20442,5.0,141.0,2.0,8.0,https://kakaku.com/book_cd_dvd/
2554,6.5,136.0,8.0,11964.0,https://corporate.kakaku.com/company/
4568,6.5,136.0,8.0,11964.0,https://corporate.kakaku.com/sitemap/
22926,8.0,136.0,8.0,11964.0,https://corporate.kakaku.com/press/
2608,9.0,120.0,4.0,55.0,https://kakaku.com/sitemap/
20838,10.0,86.0,125.0,99.0,https://akiba-souken.com/article/42186/
11374,13.0,134.0,10.0,210.0,https://corporate.kakaku.com/ir/
114,15.0,138.0,6.0,240.0,https://kakaku.com/info/recruit/
22732,30.0,6.0,13.0,9.0,https://akiba-souken.com/anime/summer/
13835,71.0,4.0,17.0,6.0,https://akiba-souken.com/anime/ranking/
17096,72.0,10.0,31.0,11.0,https://akiba-souken.com/anime/ranking/g_action/
16043,203.0,7.0,15.0,10.0,https://akiba-souken.com/anime/winter/
18981,205.0,3.0,25.0,7.0,https://akiba-souken.com/anime/autumn/
6498,209.0,9.0,26.0,12.0,https://akiba-souken.com/anime/matome/renai/
13555,299.0,1.0,12.0,4.0,https://akiba-souken.com/anime/animelist/
