,Pagerank_rank,degree_centrality_rank,closeness_centrality_rank,betweenness_centrality_rank,URL
187,1.0,5.0,2.0,2.0,https://it.businessinsider.com/
527,2.0,1.0,3.0,4.0,http://it.businessinsider.com/
1222,3.0,2.0,1.0,1.0,https://www.businessinsider.jp/
308,4.0,10.0,6.0,74.0,https://it.businessinsider.com/category/lifestyle/
1220,5.0,10.0,6.0,73.0,https://it.businessinsider.com/category/economia/
150,6.0,8.0,4.0,75.0,https://it.businessinsider.com/category/tecnologia/
1241,7.0,10.0,6.0,76.0,https://it.businessinsider.com/category/strategie/
471,8.0,12.0,8.0,78.0,https://it.businessinsider.com/category/politica/
441,9.0,13.0,9.0,77.0,https://it.businessinsider.com/category/video/
526,10.0,52.0,15.0,103.0,https://it.businessinsider.com/author/andrea-sparaciari-60/
84,11.0,49.0,10.0,95.0,https://it.businessinsider.com/author/marco-cimminella-36/
422,89.5,55.0,158.0,5.0,https://www.businessinsider.jp/thelife/
468,89.5,69.0,159.0,6.0,https://www.businessinsider.jp/politics/
1054,89.5,79.5,162.0,9.0,https://www.businessinsider.jp/careers/
205,123.0,74.5,160.5,7.5,https://www.businessinsider.jp/business/
857,123.0,74.5,160.5,7.5,https://www.businessinsider.jp/news/
165,123.0,116.5,163.0,10.0,https://www.businessinsider.jp/sai/
219,218.0,55.0,157.0,3.0,https://event.businessinsider.jp/
208,224.0,4.0,224.5,13.0,http://www.businessinsider.sg/
304,227.0,3.0,226.5,14.0,http://www.businessinsider.my/
603,850.5,6.5,850.5,782.5,http://www.businessinsider.com.au/
1306,850.5,6.5,850.5,782.5,http://www.businessinsider.in/
