,Pagerank_rank,degree_centrality_rank,closeness_centrality_rank,betweenness_centrality_rank,URL
557,1.0,2.0,1.0,1.0,https://www.businessinsider.jp/
1138,2.0,7.0,2.0,2.0,https://it.businessinsider.com/
487,3.0,1.0,3.0,4.0,http://it.businessinsider.com/
1238,4.0,8.5,4.5,65.0,https://it.businessinsider.com/category/economia/
773,5.0,8.5,4.5,68.0,https://it.businessinsider.com/category/strategie/
761,6.0,10.0,6.0,69.0,https://it.businessinsider.com/category/politica/
811,7.0,11.0,7.0,70.0,https://it.businessinsider.com/category/tecnologia/
790,8.0,12.0,8.0,71.0,https://it.businessinsider.com/category/lifestyle/
936,9.0,13.0,9.0,73.0,https://it.businessinsider.com/category/scienza/
524,10.0,50.5,13.5,95.0,https://it.businessinsider.com/author/andrea-sparaciari-60/
852,50.0,54.0,158.0,5.0,https://www.businessinsider.jp/thelife/
1088,50.0,58.5,159.0,6.0,https://www.businessinsider.jp/politics/
48,50.0,81.5,161.5,8.5,https://www.businessinsider.jp/careers/
1237,74.0,71.0,160.0,7.0,https://www.businessinsider.jp/news/
1279,74.0,81.5,161.5,8.5,https://www.businessinsider.jp/business/
407,74.0,187.5,163.0,10.0,https://www.businessinsider.jp/sai/
1276,213.0,60.0,157.0,3.0,https://event.businessinsider.jp/
512,219.0,3.0,221.5,14.0,http://www.businessinsider.my/
1055,222.0,4.0,220.0,13.0,http://www.businessinsider.sg/
466,789.0,5.5,789.0,715.0,http://www.businessinsider.in/
1178,789.0,5.5,789.0,715.0,http://www.businessinsider.com.au/
