,Pagerank_rank,degree_centrality_rank,closeness_centrality_rank,betweenness_centrality_rank,URL
650,1.0,32.0,17.0,34.0,https://nlab.itmedia.co.jp/nl/subtop/zoo/
799,3.5,22.5,12.5,33.0,https://nlab.itmedia.co.jp/nl/subtop/girl/
763,3.5,22.5,15.0,31.0,https://nlab.itmedia.co.jp/nl/subtop/money/
719,3.5,26.5,15.0,37.5,https://nlab.itmedia.co.jp/nl/subtop/norimono/
823,3.5,26.5,15.0,37.5,https://nlab.itmedia.co.jp/nl/subtop/answer/
242,11.5,20.0,9.0,24.0,https://nlab.itmedia.co.jp/
270,11.5,22.5,4.5,39.5,http://nlab.itmedia.co.jp/nl/series/7103/
621,11.5,22.5,4.5,39.5,https://nlab.itmedia.co.jp/nl/series/8464/
133,11.5,26.5,4.5,41.5,https://nlab.itmedia.co.jp/nl/series/1707/
300,11.5,26.5,4.5,41.5,https://nlab.itmedia.co.jp/nl/series/1090/
421,11.5,30.0,4.5,44.0,https://nlab.itmedia.co.jp/nl/series/6304/
456,11.5,30.0,4.5,44.0,https://nlab.itmedia.co.jp/nl/series/7103/
519,11.5,30.0,4.5,44.0,https://nlab.itmedia.co.jp/nl/series/1190/
341,11.5,33.0,12.5,4.0,http://nlab.itmedia.co.jp/
448,11.5,34.0,4.5,46.0,https://nlab.itmedia.co.jp/nl/series/11243/
269,20.0,12.0,20.0,2.0,https://corp.itmedia.co.jp/
187,21.0,5.0,92.0,3.0,https://corp.itmedia.co.jp/media/
62,22.0,14.0,81.0,9.0,https://corp.itmedia.co.jp/media/rss_list/
281,23.0,15.0,82.0,10.0,https://corp.itmedia.co.jp/media/sns/
829,48.0,10.0,113.0,7.0,https://corp.itmedia.co.jp/corp/privacy/
696,50.5,1.0,22.0,1.0,http://www.itmedia.co.jp/
73,81.0,13.0,112.0,5.0,https://corp.itmedia.co.jp/corp/inquiry/
276,91.0,9.0,122.0,8.0,https://corp.itmedia.co.jp/ad/
753,92.0,8.0,299.0,18.0,https://corp.itmedia.co.jp/pr/releases/2018/07/19/g2c/
700,161.0,2.0,234.0,15.0,https://corp.itmedia.co.jp/media/topic/service/techfactory/
578,228.0,3.0,243.0,16.0,https://corp.itmedia.co.jp/media/topic/service/built/
688,229.0,11.0,116.5,6.0,https://corp.itmedia.co.jp/recruit/
459,394.0,4.0,640.0,574.0,https://www.itreview.jp/
189,643.0,6.5,640.0,574.0,http://hnavi.co.jp/guide/
680,643.0,6.5,640.0,574.0,http://hnavi.co.jp/ad/
