,Pagerank_rank,degree_centrality_rank,closeness_centrality_rank,betweenness_centrality_rank,URL
2167,1.0,3.0,1.0,1.0,https://zozo.jp/
7043,2.0,1.0,2.0,2.0,https://zozo.jp/brand/
6492,3.0,2.0,3.0,3.0,https://zozo.jp/shop/
2612,4.0,4.0,4.0,4.0,https://zozo.jp/category/
4618,5.0,39.5,14.5,16.5,https://zozo.jp/category/jacket-outerwear/no-collar-jacket/
801,8.0,39.5,14.5,16.5,https://zozo.jp/category/jacket-outerwear/mods-coat/
2803,8.0,39.5,14.5,16.5,https://zozo.jp/category/jacket-outerwear/jacket/
19707,8.0,39.5,14.5,16.5,https://zozo.jp/category/jacket-outerwear/ma1/
20142,8.0,39.5,14.5,16.5,https://zozo.jp/category/jacket-outerwear/pea-coat/
27308,8.0,39.5,14.5,16.5,https://zozo.jp/category/jacket-outerwear/riders-jacket/
15378,198.0,6.0,27029.0,5.0,https://wear.jp/
3828,313.0,7.0,315.0,52.0,https://zozo.jp/fashionnews/
23684,315.0,8.0,317.0,319.0,https://zozo.jp/coordinate/
19611,316.0,9.0,318.0,320.0,https://zozo.jp/welcome/
21862,330.0,5.0,27030.0,6.0,https://corp.zozo.com/ir/
11315,334.0,10.0,27033.0,315.0,https://corp.zozo.com/about/profile/
